EMPREENDIMENTO	GEOLOCALIZAÇÃO	ENDEREÇO	CIDADE	TAXA DE OCUPAÇÃO	TIPO	BTS	ÁREA PARA BTS	PÉ DIREITO	PISO TON/M²	Nº DE DOCAS	ÁREA	ALUGUEL/M²	ALUGUEL	CONDOMÍNIO / m²	CONDOMÍNIO	IPTU MENSAL / m²	IPTU	TOTAL
CENTRO LOGÍSTICO PARAÍBA	-7.304445, -35.892546	Av. Manoel Argemiro de Figueiredo, 50, Queimadas - PB, 58475-000	QUEIMADAS - PB	50,00%	PRONTO	NÃO	0	12	6	14	7335,00	R$ 13,50	R$ 99.022,50	R$ 2,50	R$ 18.337,50	R$ 0,21	R$ 1.515,41	R$ 118.875,41
CLIC - CONDOMÍNIO DE LOCAÇÕES CAMPINENSE	-7.282067, -35.904918	R. Perseu Dantas, 191 - Velame, Campina Grande - PB, 58420-450	CAMPINA GRANDE - PB	80,00%	PRONTO	SIM	8000	12	6	20	6186,24	R$ 16,00	R$ 98.979,84	R$ 2,50	R$ 15.465,60	R$ 0,22	R$ 1.383,86	R$ 115.829,30
CENTRO LOGISTICO CELGON	-7.251917, -35.872505	Av. Sen. Argemiro de Figueiredo, 2213A - Itararé, Campina Grande - PB, 58411-020	QUEIMADAS - PB	100,00%	PRONTO	SIM	4000	10	6	14	12000,00	R$ 12,00	R$ 144.000,00	R$ 2,50	R$ 30.000,00	R$ 0,21	R$ 2.520,00	R$ 176.520,00
C3R3	-7.257165, -35.884534	Av. João Wallig, 1285 - Distrito Industrial, Campina Grande - PB, 58411-170	CAMPINA GRANDE - PB	90,00%	PRONTO	SIM	15000	10	6	4	7400,00	R$ 14,00	R$ 103.600,00	R$ 2,50	R$ 18.500,00	R$ 0,21	R$ 1.554,00	R$ 123.654,00
CONDOMÍNIO SOCAL	-7.324718, -35.897118	M4G3+7F6 Queimadas, Paraíba	QUEIMADAS - PB	30,00%	PRONTO	SIM	5000	10	6	0	4500,00	R$ 13,00	R$ 58.500,00	R$ 1,50	R$ 6.750,00	R$ 0,21	R$ 945,00	R$ 66.195,00
CONDOMÍNIO AIAM	-7.257555, -35.888252	P4R6+XMG Campina Grande, PB	CAMPINA GRANDE - PB	30,00%	PRONTO	SIM	17000	6	6	10	16000,00	R$ 12,00	R$ 192.000,00	R$ 2,50	R$ 40.000,00	R$ 0,21	R$ 3.360,00	R$ 235.360,00
WALIG CONDOMÍNIO INDUSTRIAL	-7.258883, -35.887351	Av. Jorn. Assis Chateaubriand, 3300 - Distrito Industrial, Campina Grande - PB, 58411-450	CAMPINA GRANDE - PB	100,00%	PRONTO	SIM	5000	6	6	0	20000,00	R$ 14,00	R$ 280.000,00	R$ 2,50	R$ 50.000,00	R$ 0,21	R$ 4.200,00	R$ 334.200,00
RCL LOG	-7.267250, -35.893125	P4M4+528 Campina Grande, PB	CAMPINA GRANDE - PB	100,00%	PRONTO	NÃO	0	12	6	14	23000,00	R$ 20,00	R$ 460.000,00	R$ 2,50	R$ 57.500,00	R$ 0,21	R$ 4.830,00	R$ 522.330,00
CAMPINA MIX ROCHA	-7.254968, -35.964975	P2WP+62H São José da Mata, Campina Grande - PB	CAMPINA GRANDE - PB	50,00%	PRONTO	SIM	22000	6	6	0	10000,00	R$ 12,00	R$ 120.000,00	R$ 1,00	R$ 10.000,00	R$ 0,21	R$ 2.100,00	R$ 132.100,00
L XAVIER	-7.230204, -35.884074	R GUILHERMINO BARBOSA, 52 - ESTAÇÃO VELHA - CAMPINA GRANDE - PB	CAMPINA GRANDE - PB	95,00%	PRONTO	NÃO	0	6	6	0	20000,00	R$ 20,00	R$ 400.000,00	R$ 1,50	R$ 30.000,00	R$ 0,21	R$ 4.200,00	R$ 434.200,00